id,name,review_count,category_alias,rating,latitude,longitude,delivery,pickup,restaurant_reservation,price,city,zip_code,country,state,distance,italian,breakfast_brunch,newamerican,pizza,tradamerican,sandwiches,chinese,bars,japanese,mexican,seafood,delis,coffee,salad,mediterranean,french,indpak,thai,asianfusion,korean,latin,desserts,bakeries,italian,breakfast_brunch,newamerican,pizza,tradamerican,sandwiches,chinese,bars,japanese,mexican,seafood,delis,coffee,salad,mediterranean,french,indpak,thai,asianfusion,korean,latin,desserts,bakeries
-9NO2IDCJMyNGZMAQ1-VQw,NY Pizza Suprema,2013,pizza,4.0,40.750205993652294,-73.9953231811523,1,1,0,1,New York,10001,US,NY,192.4033843904829,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
FBB7VTxx3gwsXwEUNRt6lg,TAK Room,111,"bars,newamerican",4.0,40.7491302490234,-73.9923629760742,0,0,0,3,New York,10001,US,NY,446.7823318715487,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
lSQAmoQtmciUld36ogOoOw,Cho Dang Gol Korean Restaurant,1088,korean,4.0,40.750236511230504,-73.986198425293,1,1,0,2,New York,10001,US,NY,845.3963465289983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
_saXnBy0Wq2Gb3YusWZhqw,Five Senses,1423,"korean,bbq",4.0,40.747573158626,-73.9863122632311,1,1,0,2,New York,10001,US,NY,955.4493983932823,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
B55Ocx5RBWxo6AGSucYSIA,ilili,2382,"mediterranean,lebanese,cocktailbars",4.0,40.74435,-73.98778,1,1,0,3,New York,10001,US,NY,1077.7743549639167,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
klAhw3xLQi9GF1tf_HnS7w,Izakaya MEW,2291,"tapas,sushi,izakaya",4.0,40.75018530964989,-73.9863203465939,1,1,0,2,New York,10001,US,NY,850.0305901872722,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
9tWsM0Ol6CGqfBWKzwdwyg,Maggie Reillys Restaurant,91,"pubs,tradamerican",4.0,40.750431799999994,-73.9981307,0,0,0,2,New York,10001,US,NY,224.43529461889156,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
GlDkm0Pd0Oe_uurhlKM1XQ,Chirp,101,"peruvian,latin,hotdogs",4.5,40.75339,-73.99591,1,1,0,2,New York,10001,US,NY,176.56888942331668,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
1z5Nu66M6W8mk5Ap4osZwA,The NoMad Restaurant,1477,"french,newamerican,gastropubs",4.0,40.7449,-73.98848199999999,0,0,0,3,New York,10001,US,NY,1005.3280334492167,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
g512kssHLLTdDbUJHTmJFw,Stick To My Pot Potsticker,121,chinese,4.5,40.75202,-73.99121,1,1,0,1,New York,10001,US,NY,419.4365715519027,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
yB4ziqFM_7V8JxJas7CHfA,Ulivo,298,"italian,cocktailbars",4.0,40.7447371960713,-73.9880339428782,1,1,0,2,New York,10001,US,NY,1043.6521758631732,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0.082,0.134,0.056,0.075,0.049,0.049,0.049,0.022,0.026,0.034,0.022,0.026,0.045,0.011,0.015,0.026,0.011,0.026,0.149,0.015,0.034,0.004
